timestamp,seat_id,status
2026-01-26 16:58:33,S-1,EMPTY
2026-01-26 16:58:33,S-2,EMPTY
2026-01-26 16:58:33,S-3,EMPTY
2026-01-26 16:58:33,S-4,EMPTY
2026-01-26 16:58:33,S-5,EMPTY
2026-01-26 16:58:33,S-6,EMPTY
2026-01-26 16:58:33,S-7,EMPTY
2026-01-26 16:58:33,S-8,EMPTY
2026-01-26 16:58:33,S-9,EMPTY
2026-01-26 16:58:33,S-10,EMPTY
2026-01-26 16:58:33,S-11,EMPTY
2026-01-26 16:58:33,S-12,EMPTY
2026-01-26 16:58:33,S-13,EMPTY
2026-01-26 16:58:33,S-14,EMPTY
2026-01-26 16:58:33,S-15,EMPTY
2026-01-26 16:58:33,S-16,EMPTY
2026-01-26 16:58:33,S-17,EMPTY
